Elf Code,Electrolyte,CE (%),LCE,Solvent_1,Solvent_2,Solvent_3,Solvent_4,Solvent_5,Salt_1,Salt_2,Salt_3,Method,Current (mA/cm2),Capacity (mAh/cm2),Cycle,Reference
1,1 M LiPF6 EC-DMC (3:7 v/v),83.30,0.777,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Aurbach,0.4,0.8,10,1
2,0.1 M LiDFP 0.4 M LiTFSI EC-DMC (3:7 v/v),93.60,1.194,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].[O-]P(=O)(F)F:0.1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.4,,Aurbach,0.4,0.8,10,1
3,0.1 M LiDFP 0.4 M LiFSI EC-DMC (3:7 v/v),94.50,1.260,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].[O-]P(=O)(F)F:0.1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.4,,Aurbach,0.4,0.8,10,1
4,1 M LiClO4-PC + 5% FEC,80.00,0.699,CC1COC(=O)O1:11.7545646892877,C1C(OC(=O)O1)F:0.685499839704302,,,,[Li+].[O-]Cl(=O)(=O)=O:1,,,Cycle,0.5,0.083,30,2
5,1 M LiFSI DMB,97.70,1.638,COCCCCOC:7.24367870561554,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,3
6,0.5 M LiFSI+0.5 M LiPO2F2/DME,96.40,1.444,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.5,[Li+].FP(F)(=O)([O-]):0.5,,Cycle,0.5,1,170,4
7,1 M LiFSI DME,97.25,1.561,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,5
8,1 M LiFSI FEC-DEC (1:2 by volume),97.43,1.590,C1C(OC(=O)O1)F:4.56954193146887,O=C(OCC)OCC:5.50268771692203,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,5
9,1 M LiFSI FEC-FEMC-D2 (234:280:793 by mol),98.16,1.735,C1C(OC(=O)O1)F:1.3709996794086,COC(=O)OCC(F)(F)F:1.69534413,C(C(F)(F)F)OC(C(F)F)(F)F:5.20283509277031,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,5
10,1 M LiFSI FDMB,98.98,1.991,COCC(F)(F)C(F)(F)COC:6.36373198695698,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,5
11,1 M LiFSI DMC-BTFE (1:2 by mol),99.12,2.056,COC(=O)OC:2.9108098851915,C(C(F)(F)F)OCC(F)(F)F:5.82162265834167,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,5
12,0.4 M LiTFSI 0.6 M LiNO3 DOL-DME (1:1 vol),98.34,1.780,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.4,[Li+].[N+](=O)([O-])[O-]:0.6,,Cycle,0.5,1,250,6
13,0.6M LiTFSI 0.4M LiBOB EC-EMC (5:5 wt),88.10,0.924,C1COC(=O)O1:6.48296470088406,CCOC(=O)OC:5.4839663940795,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.6,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2:0.4,,Aurbach,0.5,1,10,7
14,0.6M LiTFSI 0.4M LiBOB EC-EMC (7:3 wt),91.60,1.076,C1COC(=O)O1:9.59422207414963,CCOC(=O)OC:3.47819646408714,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.6,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2:0.4,,Aurbach,0.5,1,10,7
15,0.6M LiTFSI 0.4M LiBOB EC-EMC (9:1 wt),91.70,1.081,C1COC(=O)O1:13.0821653217955,CCOC(=O)OC:1.22958413655571,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.6,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2:0.4,,Aurbach,0.5,1,10,7
16,2.2 M LiFSI TEP (= 1:2 MR),99.00,2.000,CCOP(=O)(OCC)OCC:5.88516247330541,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.2,,,Cycle,0.2,1,140,8
17,1 M LiFSI+0.3 M LiNO3-FEC/GBL (1:2 v/v),98.80,1.921,C1C(OC(=O)O1)F:4.569998931,O=C1OCCC1:8.747638076,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].[N+](=O)([O-])[O-]:0.3,,Cycle,0.5,1,200,9
18,1 M LiPF6 EC-DEC (1:2 w/w),83.70,0.788,C1COC(=O)O1:3.99855082824528,O=C(OCC)OCC:6.05190113190006,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,40,10
19,1 M LiPF6 EC-DEC (1:1 w/w),90.30,1.013,C1COC(=O)O1:6.36806243016841,O=C(OCC)OCC:4.74717949484035,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,40,10
20,1 M LiPF6 FEC-DEC (1:1 w/w),97.00,1.523,C1C(OC(=O)O1)F:5.50318932656809,O=C(OCC)OCC:4.94061830898038,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,40,10
21,1 M LiPF6 FEC-TFEC (1:1 w/w),97.60,1.620,C1C(OC(=O)O1)F:6.98451253679821,C(C(F)(F)F)OC(=O)OCC(F)(F)F:3.2764018921347,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,1,1,40,10
