Electrolyte,Ionic Conductivity,LIC,Solvent_1,Solvent_2,Solvent_3,Solvent_4,Solvent_5,Salt_1,Salt_2,Salt_3,Temperature,Reference
1 m LiPF6 in EC:DMC (3:7 w/w),11.14,1.05,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,1
0.1 m LiDFP + 0.4 m LiBOB in EC:DMC (3:7 w/w),5.27,0.72,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].[O-]P(=O)(F)F:0.1,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2:0.4,,25.0,1
0.1 m LiDFP + 0.4 m LiFSI in EC:DMC (3:7 w/w),7.35,0.87,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].[O-]P(=O)(F)F:0.1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.4,,25.0,1
0.1 m LiDFP + 0.4 m LiTFSI in EC:DMC (3:7 w/w),6.21,0.79,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].[O-]P(=O)(F)F:0.1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.4,,25.0,1
0.5 m LiPF6 in EC:DMC (3:7 w/w),8.5,0.93,C1COC(=O)O1:4.49683177761123,COC(=O)OC:8.31501587513044,,,,[Li+].F[P-](F)(F)(F)(F)F:0.5,,,25.0,1
1 M LiFSI in DMB,3.8,0.58,COCCCCOC:7.24367870561554,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,3
1 M LiFSI in FDMB,3.5,0.54,COCC(F)(F)C(F)(F)COC:6.36373198695698,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,3
1 M LiTFSI in DME,16.4,1.21,COCCOC:9.63160230803373,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,3
1 M LiTFSI in DMB,4.6,0.66,COCCCCOC:7.24367870561554,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,3
1 M LiTFSI in FDMB,3.0,0.48,COCC(F)(F)C(F)(F)COC:6.36373198695698,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,3
